HourUTC;HourDK;GridCompany;ResidualConsumption;FlexSettledConsumption;HourlySettledConsumption
2021-12-31 22:00;2021-12-31 23:00;016;;470,480000;64,520000
2021-12-31 22:00;2021-12-31 23:00;131;;243350,735000;251146,045000
2021-12-31 22:00;2021-12-31 23:00;344;;210473,622000;220966,532000
2021-12-31 21:00;2021-12-31 22:00;016;;504,450000;75,550000
2021-12-31 21:00;2021-12-31 22:00;131;;255121,675000;257756,561000
2021-12-31 21:00;2021-12-31 22:00;344;;221597,392000;215145,201000
2021-12-31 20:00;2021-12-31 21:00;016;;528,750000;66,250000
2021-12-31 20:00;2021-12-31 21:00;131;;272100,827000;261242,649000
2021-12-31 20:00;2021-12-31 21:00;344;;236210,578000;220171,653000
2021-12-31 19:00;2021-12-31 20:00;016;;557,820000;79,180000
2021-12-31 19:00;2021-12-31 20:00;131;;293677,564000;257308,132000
2021-12-31 19:00;2021-12-31 20:00;344;;255442,160000;219608,729000
2021-12-31 18:00;2021-12-31 19:00;016;;641,830000;68,170000
2021-12-31 18:00;2021-12-31 19:00;131;;331236,732000;257181,205000
2021-12-31 18:00;2021-12-31 19:00;344;;280928,877000;216904,809000
2021-12-31 17:00;2021-12-31 18:00;016;;758,380000;85,620000
2021-12-31 17:00;2021-12-31 18:00;131;;382054,840000;251173,655000
2021-12-31 17:00;2021-12-31 18:00;344;;323838,652000;184090,547000
2021-12-31 16:00;2021-12-31 17:00;016;;772,280000;97,720000
2021-12-31 16:00;2021-12-31 17:00;131;;392099,288000;256358,493000
2021-12-31 16:00;2021-12-31 17:00;344;;346786,808000;180986,096000
2021-12-31 15:00;2021-12-31 16:00;016;;673,920000;81,080000
2021-12-31 15:00;2021-12-31 16:00;131;;353507,566000;260084,634000
2021-12-31 15:00;2021-12-31 16:00;344;;315556,567000;186734,946000
2021-12-31 14:00;2021-12-31 15:00;016;;587,550000;98,450000
2021-12-31 14:00;2021-12-31 15:00;131;;317121,302000;261106,289000
2021-12-31 14:00;2021-12-31 15:00;344;;281881,157000;220634,259000
2021-12-31 13:00;2021-12-31 14:00;016;;583,070000;84,960000
2021-12-31 13:00;2021-12-31 14:00;131;;305782,505000;265157,499000
2021-12-31 13:00;2021-12-31 14:00;344;;274509,895000;222363,121000
2021-12-31 12:00;2021-12-31 13:00;016;;544,540000;100,020000
2021-12-31 12:00;2021-12-31 13:00;131;;304379,845000;274225,356000
2021-12-31 12:00;2021-12-31 13:00;344;;273846,653000;225367,379000
2021-12-31 11:00;2021-12-31 12:00;016;;564,490000;96,230000
2021-12-31 11:00;2021-12-31 12:00;131;;306716,386000;280023,309000
2021-12-31 11:00;2021-12-31 12:00;344;;280438,199000;228271,416000
2021-12-31 10:00;2021-12-31 11:00;016;;556,100000;105,050000
2021-12-31 10:00;2021-12-31 11:00;131;;309573,547000;284635,548000
2021-12-31 10:00;2021-12-31 11:00;344;;281044,378000;231814,884000
2021-12-31 09:00;2021-12-31 10:00;016;;554,340000;97,680000
2021-12-31 09:00;2021-12-31 10:00;131;;301811,884000;289546,183000
2021-12-31 09:00;2021-12-31 10:00;344;;276584,077000;241457,206000
2021-12-31 08:00;2021-12-31 09:00;016;;519,930000;101,070000
2021-12-31 08:00;2021-12-31 09:00;131;;282704,988000;291468,085000
2021-12-31 08:00;2021-12-31 09:00;344;;263463,734000;242161,991000
2021-12-31 07:00;2021-12-31 08:00;016;;527,890000;100,110000
2021-12-31 07:00;2021-12-31 08:00;131;;253528,956000;294684,912000
2021-12-31 07:00;2021-12-31 08:00;344;;238896,359000;249107,929000
2021-12-31 06:00;2021-12-31 07:00;016;;432,510000;107,490000
2021-12-31 06:00;2021-12-31 07:00;131;;218235,112000;292797,799000
2021-12-31 06:00;2021-12-31 07:00;344;;206913,201000;280760,568000
2021-12-31 05:00;2021-12-31 06:00;016;;396,850000;84,150000
2021-12-31 05:00;2021-12-31 06:00;131;;196006,709000;284637,747000
2021-12-31 05:00;2021-12-31 06:00;344;;184511,011000;272696,631000
2021-12-31 04:00;2021-12-31 05:00;016;;360,920000;87,080000
2021-12-31 04:00;2021-12-31 05:00;131;;183528,140000;274696,999000
2021-12-31 04:00;2021-12-31 05:00;344;;172134,858000;271295,437000
2021-12-31 03:00;2021-12-31 04:00;016;;340,750000;71,250000
2021-12-31 03:00;2021-12-31 04:00;131;;179258,249000;267374,854000
2021-12-31 03:00;2021-12-31 04:00;344;;167680,955000;256357,193000
2021-12-31 02:00;2021-12-31 03:00;016;;365,220000;78,780000
2021-12-31 02:00;2021-12-31 03:00;131;;179960,984000;265994,384000
2021-12-31 02:00;2021-12-31 03:00;344;;168196,190000;260883,547000
2021-12-31 01:00;2021-12-31 02:00;016;;386,560000;69,440000
2021-12-31 01:00;2021-12-31 02:00;131;;186107,501000;260401,375000
2021-12-31 01:00;2021-12-31 02:00;344;;170187,672000;224325,893000
2021-12-31 00:00;2021-12-31 01:00;016;;400,040000;79,960000
2021-12-31 00:00;2021-12-31 01:00;131;;197141,397000;260882,219000
2021-12-31 00:00;2021-12-31 01:00;344;;177228,120000;221147,509000
2021-12-30 23:00;2021-12-31 00:00;016;;448,480000;71,520000
2021-12-30 23:00;2021-12-31 00:00;131;;217788,656000;264309,583000
2021-12-30 23:00;2021-12-31 00:00;344;;190941,519000;225975,795000
2021-12-30 22:00;2021-12-30 23:00;016;;459,400000;86,600000
2021-12-30 22:00;2021-12-30 23:00;131;;242904,827000;273028,933000
2021-12-30 22:00;2021-12-30 23:00;344;;211905,328000;270922,106000
2021-12-30 21:00;2021-12-30 22:00;016;;516,850000;458,150000
2021-12-30 21:00;2021-12-30 22:00;131;;268555,737000;283781,284000
2021-12-30 21:00;2021-12-30 22:00;344;;234609,194000;300103,770000
2021-12-30 20:00;2021-12-30 21:00;016;;544,320000;501,680000
2021-12-30 20:00;2021-12-30 21:00;131;;295327,037000;288029,457000
2021-12-30 20:00;2021-12-30 21:00;344;;255237,748000;325793,156000
2021-12-30 19:00;2021-12-30 20:00;016;;608,660000;153,340000
2021-12-30 19:00;2021-12-30 20:00;131;;320414,918000;294959,343000
2021-12-30 19:00;2021-12-30 20:00;344;;276858,548000;320965,745000
2021-12-30 18:00;2021-12-30 19:00;016;;637,780000;488,220000
2021-12-30 18:00;2021-12-30 19:00;131;;348694,605000;302907,401000
2021-12-30 18:00;2021-12-30 19:00;344;;302127,952000;330351,312000
2021-12-30 17:00;2021-12-30 18:00;016;;697,440000;504,560000
2021-12-30 17:00;2021-12-30 18:00;131;;383002,065000;320485,476000
2021-12-30 17:00;2021-12-30 18:00;344;;328996,897000;340806,507000
2021-12-30 16:00;2021-12-30 17:00;016;;731,710000;100,290000
2021-12-30 16:00;2021-12-30 17:00;131;;392601,849000;303980,848000
2021-12-30 16:00;2021-12-30 17:00;344;;336572,996000;287246,310000
2021-12-30 15:00;2021-12-30 16:00;016;;641,210000;111,790000
2021-12-30 15:00;2021-12-30 16:00;131;;346975,575000;327157,528000
